content,timestamp,platform,stock_name,delta_seconds,weight
7언제 오나,2025-03-13 04:04:00+00:00,toss,삼성전자,824531.0,7.168830955031147e-05
자기자본 소각중돈이 얼마나 넘치면나좀 주라,2024-11-29 00:25:38+00:00,toss,삼성전자,9823233.0,4.197244593437737e-50
일목균형표로 보는 삼성전자 보통주 매수 및 매도 전략  httpssupervibetistorycommentryEC9DBCEBAA9EAB7A0ED9895ED919CEBA19CEBB3B4EB8A94EC82BCEC84B1ECA084EC9E90EBB3B4ED86B5ECA3BCEBA7A4EC8898EBB08FEBA7A4EB8F84ECA084EB9EB5,2024-10-23 04:53:46+00:00,toss,삼성전자,13003945.0,4.3145518151073936e-66
외국 투자안들어오면 5만원박스권에 계속 있을거라 크게 상승요인은 없을거같아요,2024-12-06 00:47:27+00:00,toss,삼성전자,9217124.0,4.673103653317423e-47
탈까,2025-03-20 03:01:52+00:00,toss,삼성전자,223459.0,0.075295792779569
노잼이네여 에휴,2024-11-18 05:49:04+00:00,toss,삼성전자,10754227.0,8.775468930217295e-55
"개미는 오늘도 삼전을 매수하네

뚠뚠 

멍청한 개미는 그냥 싸다고 

매수를 하지만

기업은

뚠뚠

성장성도 없고 기술도 없다네",2024-10-25 01:16:00+00:00,toss,삼성전자,12844211.0,2.7406126973551682e-65
빨리빨리나가자,2024-12-01 22:33:26+00:00,toss,삼성전자,9570765.0,7.798461737868362e-49
httpsmblognavercomjumin4506223588467023,2024-10-10 02:06:01+00:00,toss,삼성전자,14137210.0,8.679908219539206e-72
잘 샀다고 본다,2025-01-22 15:18:47+00:00,toss,삼성전자,5104044.0,2.2091969633836854e-26
내일,2024-09-09 01:59:52+00:00,toss,삼성전자,16815979.0,2.9753043325461696e-85
나 오늘 새벽에 예약주문으로 주식 66900원에 샀는데 체결안됨,2023-11-01 12:19:00+00:00,toss,삼성전자,43822031.0,5.322125115082072e-221
이제 갓 성인이 되었는데 돈이 들어올 때마다 하나씩 사보려고요,2025-01-22 15:45:52+00:00,toss,삼성전자,5102419.0,2.2511404509291536e-26
꿈같네,2024-04-22 04:50:01+00:00,toss,삼성전자,28901770.0,5.292002535006737e-146
"가즈아
8600원 벽 빨리 넘어가즈아",2024-07-05 02:06:11+00:00,toss,삼성전자,22518000.0,6.4863541026921795e-114
"빼빼로 줍기 성공하면
상금 11원을 드려요

httpstossimmzKD6Dmv",2024-11-11 03:23:40+00:00,toss,삼성전자,11367751.0,7.233646486639787e-58
민주당,2024-09-25 06:05:19+00:00,toss,삼성전자,15418852.0,3.135228531851516e-78
재물을 바치고 주가를 얻다,2025-01-08 01:46:10+00:00,toss,삼성전자,6362401.0,1.0447969004031943e-32
어우씨 이건아니야 난 도망갈래,2024-09-11 00:12:18+00:00,toss,삼성전자,16649633.0,2.04022921808766e-84
,2024-10-02 01:37:13+00:00,toss,삼성전자,14830138.0,2.854127618772624e-75
"7초부터 준비하시고 6후까지도 보세요

계속올리는 척하고 빼잖아요

전형적인 하락패턴이요

코로나 하락 할때도 똑같이 이랬고

블록딜했을 때도 똑같았어요",2024-01-13 11:04:04+00:00,toss,삼성전자,37519327.0,2.5526005638714024e-189
상한가 64800 원인게 웃음벨,2024-11-15 02:51:44+00:00,toss,삼성전자,11024067.0,3.862818707587146e-56
내일 얼마나 올리려고 신입들 받는겨,2023-07-31 06:44:00+00:00,toss,삼성전자,51877331.0,1.7205388251227077e-261
4만전자 가겠네,2024-11-13 07:14:40+00:00,toss,삼성전자,11181091.0,6.275008488071465e-57
뭐야 삼전이 이렇게됐어,2024-03-20 01:36:29+00:00,toss,삼성전자,31764582.0,2.1554292228240267e-160
삼성전자  가나요,2024-11-15 03:48:20+00:00,toss,삼성전자,11020671.0,4.017672310401344e-56
와 잘판다,2024-04-08 02:48:31+00:00,toss,삼성전자,30118660.0,4.044396258964135e-152
얜 왜 혼자 코로나 전으로 돌아가냐,2024-11-12 00:11:04+00:00,toss,삼성전자,11292907.0,1.7201442800046644e-57
7은 못참아서 사봄,2024-05-28 02:56:23+00:00,toss,삼성전자,25798188.0,2.108387000358633e-130
부동산도 반토막날거같아요 다들 조심,2024-12-03 14:23:58+00:00,toss,삼성전자,9427333.0,4.1018332205870357e-48
외인 무슨 매일천만씩 던지고나가냐,2025-02-03 10:24:56+00:00,toss,삼성전자,4084875.0,2.931871978531501e-21
야호 신난다,2024-08-07 03:44:28+00:00,toss,삼성전자,19660903.0,1.4905967173445127e-99
8만전자 우와,2024-03-26 01:22:49+00:00,toss,삼성전자,31247002.0,8.613484602643153e-158
조국 감방이 호재구나,2024-12-12 05:18:42+00:00,toss,삼성전자,8682449.0,2.2760380211332804e-44
"HBM 수율 꽝인데 엔비디아 립서비스에 또 털리겠네
3나노 수율 20 란 말이 있던데",2024-11-04 08:54:07+00:00,toss,삼성전자,11952724.0,8.297694537681045e-61
잠정발표같은거때매 후반영쳐맞네,2024-10-31 01:51:30+00:00,toss,삼성전자,12323681.0,1.1332379825512108e-62
물려도 삼성에 물려라,2024-11-15 09:58:23+00:00,toss,삼성전자,10998468.0,5.1949233731828005e-56
믿고있었다고,2024-06-14 01:00:03+00:00,toss,삼성전자,24336368.0,4.6975472572577886e-123
5500에사라,2024-10-04 06:31:43+00:00,toss,삼성전자,14639668.0,2.587507429023421e-74
감사합니다,2024-12-16 02:04:25+00:00,toss,삼성전자,8348506.0,1.0858325868767173e-42
쬴딱 망했네,2024-09-13 03:28:48+00:00,toss,삼성전자,16465043.0,1.7279494278981912e-83
더 떨어져라,2024-10-02 00:09:49+00:00,toss,삼성전자,14835382.0,2.686050205212882e-75
120일지지 뚫어도 이지경,2023-11-21 06:02:39+00:00,toss,삼성전자,42116612.0,1.988245671277331e-212
20일선 돌파 힘들어보이네,2024-11-01 00:32:46+00:00,toss,삼성전자,12242005.0,2.91655486931338e-62
"이런 외인 오늘도 파네 
몇일 연속임 대체",2024-10-24 00:53:33+00:00,toss,삼성전자,12931958.0,9.926186070837184e-66
"내가 이럴줄 알고 6분의1은 덜었음
다팔고 싶다고 나도 근데 팔면 오를거 같은데
어떡해",2025-03-18 04:35:49+00:00,toss,삼성전자,390622.0,0.0108771832562331
국장 탈출은 지능순,2024-11-12 07:15:33+00:00,toss,삼성전자,11267438.0,2.309863111353727e-57
,2024-06-04 23:57:54+00:00,toss,삼성전자,25117697.0,5.5523494477203524e-127
"역시
줄때 먹고 빠져야하거늘
또 똑같은실수를 반복하눈 나는 빠뽀",2025-02-28 01:04:22+00:00,toss,삼성전자,1958509.0,1.4303550343128099e-10
이게 바로 털기의 기술,2025-02-12 07:24:25+00:00,toss,삼성전자,3318106.0,2.0958138516290138e-17
미장 이랑 전세계 증시 떨어지면 누구보다 잘 반영되어 개떡락하고  오르면 쮜끔만 오름  결국 단타승,2024-08-26 01:55:20+00:00,toss,삼성전자,18025851.0,2.466274568611976e-91
요즘주식시장보면장난하는것같다,2025-01-14 01:00:42+00:00,toss,삼성전자,5846729.0,4.084005523539871e-30
"자 드가자

누가 죽나 보자 드가자",2024-11-14 08:00:27+00:00,toss,삼성전자,11091944.0,1.7608272485115432e-56
82층 30주샀다가 85층에서 하하호호하다가 지반침하당했누,2024-04-19 02:51:08+00:00,toss,삼성전자,29168103.0,2.4259518137640035e-147
"와 이제 진짜 사고 싶따 
3일연속 상승하면 사본당",2024-09-30 12:07:44+00:00,toss,삼성전자,14965107.0,5.984723404188715e-76
낼,2025-03-18 06:26:13+00:00,toss,삼성전자,383998.0,0.011743900303419
길게 보면 무조건 오르는데 조만간 다시 좀 떨어질듯 기사나 행보 보니까,2024-11-18 00:13:20+00:00,toss,삼성전자,10774371.0,6.950489294027601e-55
너 또 기영이 머리 만드니,2025-02-19 01:17:04+00:00,toss,삼성전자,2735347.0,1.7808352674570165e-14
"삼성전자 사야되나
55600원 10주 사는데
10주를 더사야되나 고민스럽네",2024-11-13 05:32:18+00:00,toss,삼성전자,11187233.0,5.84441716455396e-57
하루에 5퍼센트 상승이라,2025-03-17 04:35:55+00:00,toss,삼성전자,477016.0,0.004001769988867
응 이제 팔꺼야,2023-05-29 03:57:36+00:00,toss,삼성전자,57330515.0,6.682315508300896e-289
모두가 경영권 프리미엄의 부당함을 깨닫는 순간 3만전자,2024-10-07 01:58:26+00:00,toss,삼성전자,14396865.0,4.298773906947924e-73
오늘 장 열렸을때 팔아야할까요,2024-12-03 16:25:05+00:00,toss,삼성전자,9420066.0,4.4617577246056204e-48
하간보고있네8자 8자,2024-03-26 07:03:30+00:00,toss,삼성전자,31226561.0,1.0912561975546829e-157
곡소리 나오면 슬슬 준비 운동 하면 되나요,2024-10-24 06:48:32+00:00,toss,삼성전자,12910659.0,1.2701149821545814e-65
하닉보다 못하진않음 하닉 떨군만큼 똑같거나 더 떨굴듯 7만가면 풀매수닷,2024-07-19 03:11:47+00:00,toss,삼성전자,21304464.0,8.164092694295564e-108
"2024년이 벌써 한 달이 훌쩍 지나갔고 설 연휴가 지나가면 벌써 2월 중순입니다

오늘은 2월 9일 금요일 설 연휴 첫 날로 12일 설날 대체휴일까지 나흘간의 휴일과 증시 휴장이 이어집니다

2024년 증시 휴장일은 어떤 날이 있는지 알아보도록 하겠습니다

1월

1월 1일 월요일신정
휴장일 1일 22거래일

2월

2월 9일 금요일설날 연휴
2월 12일 월요일설날 대체휴일
휴장일 2일 19거래일

3월

3월 1일 금요일31절
휴장일 1일 20거래일

4월

4월 10일 수요일총선
휴장일 1일 21거래일

5월

5월 6일 월요일어린이날 대체휴일
5월 15일 수요일석가탄신일
휴장일 2일 21거래일

6월

6월 6일 목요일현충일
휴장일 1일 19거래일

7월

없음
휴장일 0일 23거래일

8월

8월 15일 목요일광복절
휴장일 1일 21거래일

9월

9월 16일 월요일추석 연휴
9월 17일 화요일추석 당일
9월 18일 수요일추석 연휴
휴장일 3일 18거래일

10월

10월 3일 목요일개천절
10월 9일 수요일한글날
휴장일 2일 21거래일

11월

없음
휴장일 0일 21거래일

12월

12월 25일 수요일성탄절
12월 31일 화요일증시 폐장일
휴장일 2일 20거래일

참고로 공휴일이 토일요일이나 다른 공휴일과 겹치는 경우 대체공휴일을 지정하는데 2021년 8월 15일부터 신정1월 1일 부처님오신날석가탄신일 현충일 성탄절을 제외한 모든 공휴일로 확대 적용되었습니다

더욱 자세한 내용은 아래 사진을 참고하시길 바라고 증시 휴장일 jpg 다운로드는 아래 글에서 가능합니다

새해 복 많이 받으시고 즐거운 설 연휴 보내세요

httpskakao77tistorycom711",2024-02-09 03:09:07+00:00,toss,삼성전자,35215024.0,9.765446195651867e-178
목디스크 심해지는거 같아요,2024-05-03 00:17:52+00:00,toss,삼성전자,27967699.0,2.622893780797271e-141
,2025-03-20 02:04:14+00:00,toss,삼성전자,226917.0,0.0723417279187947
고생하셨습니다 월요일 돈 긁을 준비하세요,2024-12-14 08:09:59+00:00,toss,삼성전자,8499372.0,1.894202465914725e-43
삼전은  구매하면 않될듯,2024-02-23 03:23:27+00:00,toss,삼성전자,34004564.0,1.1861447112808685e-171
일단 익절,2024-04-09 03:53:20+00:00,toss,삼성전자,30028371.0,1.1499963452459864e-151
이딴걸 왜사는거임,2024-11-11 00:05:01+00:00,toss,삼성전자,11379670.0,6.301526307813738e-58
이제 시작입니다,2025-03-20 03:56:02+00:00,toss,삼성전자,220209.0,0.0781820437175482
음 지금 들어갈 타이밍인가,2025-01-20 00:32:33+00:00,toss,삼성전자,5330018.0,1.6157097966496276e-27
못해도 5500가진 떨어질것같은데,2024-10-23 14:48:12+00:00,toss,삼성전자,12968279.0,6.519478436570184e-66
아진짜윤탄핵,2024-12-10 01:18:56+00:00,toss,삼성전자,8869635.0,2.6078253759076362e-45
신기허다 신기해,2024-11-19 03:32:10+00:00,toss,삼성전자,10676041.0,2.1690855426695105e-54
애플vs삼성전자,2024-12-11 04:52:26+00:00,toss,삼성전자,8770425.0,8.221729378518043e-45
국장 재미없네요 너무 레버리지에서 놀았,2024-08-14 06:17:35+00:00,toss,삼성전자,19046916.0,1.8180277519935313e-96
12주만 일단 보내고 떨어지면 더 사야징,2024-09-24 07:30:35+00:00,toss,삼성전자,15500136.0,1.2237440237712237e-78
"역사가 증명을 해준다니까 
나스닥에 눌러 앉으세여",2025-01-17 04:31:09+00:00,toss,삼성전자,5574902.0,9.493800371708547e-29
육만이 저가라고 생각날 때까지,2025-03-20 03:33:07+00:00,toss,삼성전자,221584.0,0.076947675303869
대 삼 성,2024-06-27 03:44:05+00:00,toss,삼성전자,23203326.0,2.329006988203519e-117
"이거 나한테 넘긴 넘
죽이러 가끄얌",2024-12-16 06:09:13+00:00,toss,삼성전자,8333818.0,1.2870426329467173e-42
"개인하고 기관만 팔았네요
하락안하고 그대로 인거에 감사",2025-03-18 06:46:34+00:00,toss,삼성전자,382777.0,0.0119110426918581
"삼성전자A005930 들어가고싶은데 아직이겠죠
완전 주린이라가볍게 몆주만 하고싶은데",2023-06-20 02:53:10+00:00,toss,삼성전자,55433581.0,2.290724768192893e-279
"삼전아님 금액도 메리트있고

개잡주살빠에 삼전사라",2024-12-13 04:27:26+00:00,toss,삼성전자,8599125.0,5.970522052228629e-44
영 차 영 차,2024-03-26 06:32:26+00:00,toss,삼성전자,31228425.0,1.0679654965323536e-157
"올리는속도 7년 
내리는 속도 3개월",2024-11-13 00:11:13+00:00,toss,삼성전자,11206498.0,4.6763240303812445e-57
쳐다만봐도 속터진다,2024-05-22 04:25:15+00:00,toss,삼성전자,26311256.0,5.558851055877124e-133
"삼성전자를 머라하려면 최소한 폰을 갤럭시로 바꾸고 해라
그렇지않겠는가",2024-09-25 07:17:30+00:00,toss,삼성전자,15414521.0,3.296394789246535e-78
오 급등한다,2024-12-20 05:36:07+00:00,toss,삼성전자,7990204.0,6.86733319598337e-41
"삼성이 우량주고 대장주이자 최고의 국민주입니다
하지만 우량주라고 무턱대고 사면 안됩니다
아직까지 상승여력은 충분하지만
지지부진한 흐름은 어쩔수 없습니다
 지금은 보유자의 영역이지 신규진입은 비추합니다
공부를 위해 한주정도 담아 보시는건
추천드립니다",2023-07-13 07:03:24+00:00,toss,삼성전자,53431367.0,2.6559183206161572e-269
어휴 지금 물린지 몇 달째,2024-11-07 00:10:20+00:00,toss,삼성전자,11724951.0,1.158434005459108e-59
지금의 저점 입니다,2025-02-28 03:16:23+00:00,toss,삼성전자,1950588.0,1.5676864439185878e-10
대 일 류,2024-10-11 04:01:37+00:00,toss,삼성전자,14043874.0,2.556664909989861e-71
4만,2024-11-14 07:52:10+00:00,toss,삼성전자,11092441.0,1.7507274921818854e-56
아왜이러나요,2024-10-22 05:54:15+00:00,toss,삼성전자,13086716.0,1.6553223565544006e-66
진입,2024-09-13 00:52:29+00:00,toss,삼성전자,16474422.0,1.5501972221757889e-83
자사주 산다고 뻥카 날린거 아녀,2024-11-19 04:50:04+00:00,toss,삼성전자,10671367.0,2.2896589859588234e-54
배당은 오늘 3시30까지 들고 있어야 주나요,2024-08-20 01:49:40+00:00,toss,삼성전자,18544591.0,6.089273824872642e-94
이놈은 시작부터 초치네  진짜 개잡주,2024-05-22 00:01:12+00:00,toss,삼성전자,26327099.0,4.627530639987033e-133
후후 55층내려올때재진입,2024-11-25 00:34:37+00:00,toss,삼성전자,10168294.0,7.735629567232363e-52
가자 그래야 죽는다,2025-02-03 01:35:02+00:00,toss,삼성전자,4116669.0,2.0292271543681488e-21
삼성,2024-09-13 00:50:42+00:00,toss,삼성전자,16474529.0,1.548278606022766e-83
금을  샀더라면,2024-04-29 02:00:41+00:00,toss,삼성전자,28307130.0,5.159547354781397e-143
더 떨어져 다 받아줄게,2024-11-12 05:28:04+00:00,toss,삼성전자,11273887.0,2.1437294800969373e-57
8층에들어갔는데 던져야하나,2024-10-02 02:01:47+00:00,toss,삼성전자,14828664.0,2.9032372833693653e-75
어머나 무슨일이야,2024-10-31 04:50:52+00:00,toss,삼성전자,12312919.0,1.2835622130449685e-62
"180 도 하락빔 인데 몬  분할 물타기냐
정신 좀 차려라",2024-08-05 07:01:11+00:00,toss,삼성전자,19821900.0,2.31259532347185e-100
8만까지 가보자,2023-07-14 02:52:24+00:00,toss,삼성전자,53360027.0,6.064699064651134e-269
,2024-08-19 02:01:50+00:00,toss,삼성전자,18630261.0,2.259125763433707e-94
httpsyoutubeUdB0sf4lQUYsiJwcsFFv5CrecCig,2024-09-23 02:32:14+00:00,toss,삼성전자,15604437.0,3.65944912689309e-79
팔아라 10퍼먹을거면 들어오지도않았다,2025-03-21 00:17:03+00:00,toss,삼성전자,146948.0,0.182539801917989
삼성에 첫 투자,2024-03-21 05:24:54+00:00,toss,삼성전자,31664477.0,6.866211951178112e-160
냠,2024-01-24 06:30:39+00:00,toss,삼성전자,36585332.0,1.264041994047711e-184
담주에 빠싹 올라가지 않을까여 또 떨어지겠지만,2023-07-21 07:30:18+00:00,toss,삼성전자,52738553.0,8.06646831332232e-266
3달동안 안들어오면 9만원일줄 알았는데  정확히 3달만에 들어오니 58700이 51900되있네,2025-01-31 00:13:35+00:00,toss,삼성전자,4380756.0,9.547341076512208e-23
두걔쟁,2023-09-07 03:39:27+00:00,toss,삼성전자,48605204.0,4.8216505251985766e-245
다시 톡톡 올라가네,2025-02-05 05:16:19+00:00,toss,삼성전자,3930592.0,1.748466113343428e-20
윤거니 대단함,2024-12-09 00:05:45+00:00,toss,삼성전자,8960426.0,9.118269319385464e-46
돔황챠,2025-02-25 00:01:44+00:00,toss,삼성전자,2221467.0,6.818213618798e-12
내일 보고 다시 들어오던지 생각해봐야겠네요,2024-09-11 07:05:05+00:00,toss,삼성전자,16624866.0,2.71751335907544e-84
"75  떨어지겠어
몇번 떨어진적도 있었지만

아직 50프로도 안떨어졌어
빚투로 사는거야
인생 뭐 있어 청산이나 되긋지",2024-10-10 06:12:44+00:00,toss,삼성전자,14122407.0,1.0302040406642073e-71
네 떨어진다는 뜻이에요,2024-11-04 08:01:36+00:00,toss,삼성전자,11955875.0,8.000530102254808e-61
다른 커뮤니티 다돌아다녀봐도 이곳이 제일 재밌습니다,2024-11-29 00:39:16+00:00,toss,삼성전자,9822415.0,4.2371711009783997e-50
근데 그거알죠 옛날이든 지금이든 살아남는건 삼성주주밖에 없는거,2024-11-13 17:19:30+00:00,toss,삼성전자,11144801.0,9.550542754845204e-57
이해가안되네 2만대가자,2024-11-15 02:03:16+00:00,toss,삼성전자,11026975.0,3.734969844175514e-56
아직도모르냐고,2024-10-31 02:28:39+00:00,toss,삼성전자,12321452.0,1.1628543363321862e-62
어렵다,2024-12-16 00:53:17+00:00,toss,삼성전자,8352774.0,1.0334977321006677e-42
10조 자사주 매입,2024-11-15 09:03:08+00:00,toss,삼성전자,11001783.0,4.999379570214364e-56
정찰병 회수,2024-10-28 03:55:55+00:00,toss,삼성전자,12575416.0,6.15121519709222e-64
굿,2025-01-06 00:51:15+00:00,toss,삼성전자,6538496.0,1.3610698321116684e-33
건투하세욥,2023-09-14 04:26:03+00:00,toss,삼성전자,47997608.0,5.4614926645946055e-242
진짜정 안가는 주식이네여,2024-06-21 00:55:53+00:00,toss,삼성전자,23731818.0,5.1366017097004516e-120
정찰병파견,2024-09-02 00:36:23+00:00,toss,삼성전자,17425788.0,2.5603067418916254e-88
종가에 하락은 반대매매겠죠,2024-11-14 08:03:22+00:00,toss,삼성전자,11091769.0,1.7643973532244828e-56
"1년 들고 잇으면 50오른다는
신월희님 보셔요",2025-01-02 04:33:46+00:00,toss,삼성전자,6870745.0,2.9094576251953307e-35
외인들 짜증나게 하누만,2024-08-26 00:54:22+00:00,toss,삼성전자,18029509.0,2.3640370624421493e-91
가즈아 삼전아 제발요,2025-02-19 01:58:52+00:00,toss,삼성전자,2732839.0,1.83328654694798e-14
"그렇게 인물이 없더냐
60년생 인사라니
그 밥에 그 나물",2024-11-27 06:11:02+00:00,toss,삼성전자,9975309.0,7.220140878114193e-51
나는 김민우사장이요,2025-03-12 00:43:05+00:00,toss,삼성전자,922986.0,2.293816746380662e-05
